Carimbo de data/hora,Avalie os estilos musicais [rock],Avalie os estilos musicais [rap],Avalie os estilos musicais [mpb],Avalie os estilos musicais [reggae],Avalie os estilos musicais [funk],Avalie os estilos musicais [sertanejo],Avalie os estilos musicais [gospel],Avalie os estilos musicais [eletrônica],Qual professor,Qual sua faixa etária,Avalie os estilos musicais [samba],Avalie os estilos musicais [forró],Avalie os estilos musicais [trap],Digite uma palavra-chave do seu curso que pode ser incluída na música gerada por inteligência artificial?
22/08/2024 16:39:03,5,5,5,5,3,5,5,5,Mirka,19 - 25,5,5,5,conhecimento
22/08/2024 16:39:04,5,5,4,3,2,3,1,5,Mirka,26 - 39,2,2,5,VisualG
22/08/2024 16:39:05,5,1,2,4,1,2,3,5,Mirka,51 - 80,1,1,3,FrontEnd
22/08/2024 16:39:07,5,5,5,3,4,2,1,1,Mirka,15 - 18,5,5,5,front-end
22/08/2024 16:39:17,1,3,2,1,3,3,4,2,Mirka,19 - 25,3,3,3,Programação
22/08/2024 16:39:17,4,3,2,2,1,1,3,5,Mirka,15 - 18,1,1,5,Front-End
22/08/2024 16:39:31,1,1,1,1,1,4,1,3,Mirka,26 - 39,1,4,1,HTML
22/08/2024 16:39:56,1,5,1,5,5,5,5,4,Mirka,26 - 39,5,5,5,
22/08/2024 16:39:57,5,2,5,4,1,2,1,5,Mirka,40 - 50,3,2,3,programação
22/08/2024 16:40:26,3,2,1,1,1,2,1,5,Mirka,15 - 18,2,3,1,Front-end
22/08/2024 16:40:56,5,1,1,1,1,1,1,5,Mirka,40 - 50,1,1,1,Front end
22/08/2024 16:42:12,4,5,3,3,1,1,5,5,Alisson,19 - 25,2,2,5,Tecnologia 
22/08/2024 16:42:21,5,2,5,4,1,5,5,5,Alisson,26 - 39,5,5,2,Execel
22/08/2024 16:42:59,5,4,5,5,1,5,5,5,Alisson,40 - 50,5,5,1,Operador de Computador 
22/08/2024 16:43:21,1,1,3,5,5,5,2,5,Alisson,15 - 18,4,4,5,word
22/08/2024 16:43:24,2,5,5,2,4,4,5,5,Alisson,15 - 18,1,4,5,
22/08/2024 16:44:01,2,1,4,1,5,5,5,5,Alisson,15 - 18,2,4,5,
22/08/2024 16:44:06,3,4,5,5,5,5,2,3,Alisson,15 - 18,2,5,5,operador
22/08/2024 16:44:14,3,5,1,1,5,2,1,3,Alisson,15 - 18,3,2,5,digitação
22/08/2024 16:44:25,5,3,5,3,3,3,3,5,Alisson,40 - 50,4,4,3,Cloud
22/08/2024 16:44:45,5,3,2,2,1,3,2,2,Charlerson,15 - 18,2,3,1,Redes
22/08/2024 16:44:45,1,4,1,2,4,3,3,2,Alisson,15 - 18,3,2,5,Informática 
22/08/2024 16:45:21,1,2,1,1,1,1,1,1,Charlerson,11 -  14,1,1,5,
22/08/2024 16:46:17,4,2,2,1,1,1,1,3,Charlerson,15 - 18,1,2,1,
22/08/2024 16:47:00,3,1,2,2,1,4,3,4,Alisson,15 - 18,3,1,5,Cloud
22/08/2024 16:48:04,1,1,1,1,1,1,4,1,Alisson,51 - 80,4,4,1,Informática 
22/08/2024 16:51:25,4,3,1,1,4,3,4,4,Charlerson,15 - 18,3,3,3,Programa
22/08/2024 16:52:02,4,3,4,3,1,2,1,4,Charlerson,15 - 18,2,3,4,Programação 
